573607,BANK AMER CORP 2.6 15JAN19,06051GEX3,8000,8032
573607,BANK AMER CORP 2.881 24APR23,06051GGK9,80000,79269
573607,BANK AMER CORP 3.3 11JAN23,06051GEU9,260000,262486
573607,BANK AMER CORP 3.366 23JAN26 FRN,06051GGZ6,30000,29868
573607,BANK AMER CORP 3.824 20JAN28,06051GGF0,60000,60916
573607,BANK AMER CORP 3.875 01AUG25,06051GFS3,40000,41135
573607,BANK AMER CORP 4.0 01APR24,06051GFF1,60000,62327
573607,BANK AMER CORP 4.0 22JAN25,06051GFM6,25000,25475
573607,BANK AMER CORP 4.244 24APR38,06051GGM5,20000,20819
573607,BANK NEW YORK MEL 3.442 07FEB28 FRN,06406RAB3,161000,160485
573607,BANK NEW YORK MELLON 4.625 31DEC49,064058AF7,60000,60210
573607,BANK NEW YORK MELLON C 2.45 17AUG26,06406FAE3,40000,37062
573607,BANK NEW YORK MELLON C 2.95 29JAN23,06406RAE7,180000,179154
573607,BANK NEW YORK MELLON CO 2.8 04MAY26,06406FAC7,15000,14280
573607,BANK NEW YORK MELLON CO 3.0 30OCT28,06406GAA9,25000,23618
573607,BANK NEW YORK MELLON CO 3.3 23AUG29,06406YAA0,50000,48367
573607,BARCLAYS PLC 2.75 08NOV19,06738EAD7,200000,199930
573607,BARCLAYS PLC 4.375 11SEP24,06738EAC9,200000,202372
573607,BECTON DICKINSON + CO 2.675 15DEC19,075887BE8,14000,14004
573607,BECTON DICKINSON + CO 3.734 15DEC24,075887BF5,10000,10041
573607,BED BATH + BEYOND INC 5.165 01AUG44,075896AC4,70000,60183
573607,BERKSHIRE HATHAWAY ENER 4.5 01FEB45,084659AF8,36000,39009
573607,BERKSHIRE HATHAWAY IN 3.125 15MAR26,084670BS6,20000,19634
573607,BERKSHIRE HATHAWAY INC 2.75 15MAR23,084670BR8,25000,24854
573607,BLACK HILLS CORP 3.15 15JAN27,092113AM1,10000,9632
573607,BNP PARIBAS SR N 3.375 09JAN25 144A,09659W2D5,200000,196888
573607,BNY MELLON CASH RESERVE,X9USDBMCR,1750,1750
573607,BOSTON PPTYS LTD PARTN 2.75 01OCT26,10112RAY0,5000,4639
573607,BROADCOM CORP / 3.125 15JAN25 144A,11134LAN9,80000,74997
573607,BROADCOM CORP / 3.625 15JAN24 144A,11134LAE9,40000,39332
573607,BROADCOM CORP / BR 3.0 15JAN22 144A,11134LAC3,120000,117767
573607,BUCKEYE PARTNERS 6.375 22JAN78 FRN,118230AS0,240000,243362
573607,BUCKEYE PARTNERS L P 4.125 01DEC27,118230AR2,20000,19480
573607,BUCKEYE PARTNERS L P 5.6 15OCT44,118230AP6,17000,17550
573607,BUCKEYE PARTNERS L P 5.85 15NOV43,118230AM3,18000,19239
573607,BURLINGTON NORTHN SAN 4.125 15JUN47,12189LBB6,10000,10498
573607,BURLINGTON NORTHN SAN 4.375 01SEP42,12189LAK7,15000,16089
573607,BURLINGTON NORTHN SANT 4.55 01SEP44,12189LAU5,20000,22046
573607,CALIFORNIA INST TECHN 4.321 01AUG45,13034VAB0,55000,59966
573607,CAPITAL ONE FINL CORP 2.5 12MAY20,14040HBP9,170000,169016
573607,CAPITAL ONE FINL CORP 3.5 15JUN23,14040HBD6,35000,35265
573607,CAPITAL ONE FINL CORP 3.75 28JUL26,14040HBK0,15000,14550
573607,CASH COLL SWAP HELD GOLDMAN SACHS,S86803150,193000,193000
573607,CBS CORP NE 3.7 01JUN28 144A,124857AV5,55000,53387
573607,CC HLDGS GS V LLC / C 3.849 15APR23,14987BAE3,118000,120365
573607,CCO HLDGS LLC / C 5.75 15FEB26 144A,1248EPBM4,100000,102750
573607,CCO HLDGS LLC / CC 4.0 01MAR23 144A,1248EPBZ5,150000,147750
573607,CCO HLDGS LLC / CC 5.0 01FEB28 144A,1248EPBX0,110000,105463
573607,CDP FINL INC 4.4 25NOV19 144A,125094AD4,410000,424539
573607,CENTERPOINT ENERGY RES 4.1 01SEP47,15189WAJ9,50000,50148
573607,CFCRE 2016-C3 MTG TR 3.865 10JAN48,12531WBB7,135000,138771
573607,CGRBS COML MTG T 3.369 13MAR35 144A,125354AA8,170000,171455
573607,CHARTER COMMUNICATION 4.464 23JUL22,161175BB9,9000,9325
573607,CHARTER COMMUNICATION 4.908 23JUL25,161175AY0,26000,27140
573607,CHARTER COMMUNICATION 5.375 01MAY47,161175BL7,105000,106642
573607,CHARTER COMMUNICATION 6.384 23OCT35,161175AZ7,15000,17240
